id,parent,label,name,value,color,filter,category
4.43,3.46,Professional Development III,Professional Development III,1,#EF431B,sem 8,Business
4.44,3.43,Intro to Geology,Intro to Geology,3,#CCCCCC,sem 8,Gen Ed
4.45,3.47,Data Visualization,Data Visualization,3,#DC5842,sem 8,Info Systems
4.46,3.51,Financial Statements,Financial Statements,3,#F2D055,sem 9,Accounting
4.47,3.54,Stats for Finance,Stats for Finance,3,#9FC131,sem 9,Finance
4.48,3.54,Adv Corp Finance,Adv Corp Finance,3,#9FC131,sem 9,Finance
4.49,3.53,Data Visualization with R,Data Visualization with R,1.5,#DC5842,sem 9,Info Systems
4.5,3.53,Database Theory & Design,Database Theory & Design,3,#DC5842,sem 9,Info Systems
4.51,3.53,Data Mining,Data Mining,3,#DC5842,sem 9,Info Systems
4.52,3.60,Investments/Portfolio Mgt,Investments/Portfolio Mgt,3,#9FC131,sem 10,Finance
4.53,3.60,Financial Cases,Financial Cases,3,#9FC131,sem 10,Finance
4.54,3.60,Financial Modeling,Financial Modeling,3,#9FC131,sem 10,Finance
4.55,3.60,Real Estate Finance,Real Estate Finance,3,#9FC131,sem 10,Finance
4.56,3.60,Real Estate Construction,Real Estate Construction,1.5,#9FC131,sem 10,Finance
