date,steps,week,month,day,m_name,year,label
2017-01-23,1954,2017-01-22,2017-01-01,2,1,1,
2017-01-24,174,2017-01-22,2017-01-01,3,1,1,
2017-01-25,2150,2017-01-22,2017-01-01,4,1,1,
2017-01-26,2490,2017-01-22,2017-01-01,5,1,1,
2017-01-27,3851,2017-01-22,2017-01-01,6,1,1,
2017-01-28,606,2017-01-22,2017-01-01,7,1,1,
2017-01-29,526,2017-01-29,2017-01-01,1,1,1,
2017-01-30,5444,2017-01-29,2017-01-01,2,1,1,
2017-01-31,2189,2017-01-29,2017-01-01,3,1,1,
2017-02-01,2513,2017-01-29,2017-02-01,4,2,1,
2017-02-02,5186,2017-01-29,2017-02-01,5,2,1,
2017-02-03,3782,2017-01-29,2017-02-01,6,2,1,
2017-02-04,1191,2017-01-29,2017-02-01,7,2,1,
2017-02-05,1137,2017-02-05,2017-02-01,1,2,1,
2017-02-06,4764,2017-02-05,2017-02-01,2,2,1,
2017-02-07,4051,2017-02-05,2017-02-01,3,2,1,
2017-02-08,3173,2017-02-05,2017-02-01,4,2,1,
2017-02-09,4234,2017-02-05,2017-02-01,5,2,1,
2017-02-10,5522,2017-02-05,2017-02-01,6,2,1,
2017-02-11,847,2017-02-05,2017-02-01,7,2,1,
2017-02-12,1212,2017-02-12,2017-02-01,1,2,1,
2017-02-13,4636,2017-02-12,2017-02-01,2,2,1,
2017-02-14,3528,2017-02-12,2017-02-01,3,2,1,
2017-02-15,3480,2017-02-12,2017-02-01,4,2,1,
2017-02-16,5164,2017-02-12,2017-02-01,5,2,1,
2017-02-17,14406,2017-02-12,2017-02-01,6,2,1,No Idea ???
2017-02-18,1314,2017-02-12,2017-02-01,7,2,1,
2017-02-19,1303,2017-02-19,2017-02-01,1,2,1,
2017-02-20,1003,2017-02-19,2017-02-01,2,2,1,
2017-02-21,4371,2017-02-19,2017-02-01,3,2,1,
2017-02-22,3127,2017-02-19,2017-02-01,4,2,1,
2017-02-23,6824,2017-02-19,2017-02-01,5,2,1,
2017-02-24,5271,2017-02-19,2017-02-01,6,2,1,
2017-02-25,1290,2017-02-19,2017-02-01,7,2,1,
2017-02-26,1340,2017-02-26,2017-02-01,1,2,1,
2017-02-27,2376,2017-02-26,2017-02-01,2,2,1,
2017-02-28,3826,2017-02-26,2017-02-01,3,2,1,
2017-03-01,2319,2017-02-26,2017-03-01,4,3,1,
2017-03-02,5585,2017-02-26,2017-03-01,5,3,1,
2017-03-03,2648,2017-02-26,2017-03-01,6,3,1,
2017-03-04,4422,2017-02-26,2017-03-01,7,3,1,
2017-03-05,1399,2017-03-05,2017-03-01,1,3,1,
2017-03-06,4848,2017-03-05,2017-03-01,2,3,1,
2017-03-07,3352,2017-03-05,2017-03-01,3,3,1,
2017-03-08,4108,2017-03-05,2017-03-01,4,3,1,
2017-03-09,2262,2017-03-05,2017-03-01,5,3,1,
2017-03-10,3690,2017-03-05,2017-03-01,6,3,1,
2017-03-11,1793,2017-03-05,2017-03-01,7,3,1,
2017-03-12,580,2017-03-12,2017-03-01,1,3,1,
2017-03-13,5480,2017-03-12,2017-03-01,2,3,1,
2017-03-14,3321,2017-03-12,2017-03-01,3,3,1,
2017-03-15,4245,2017-03-12,2017-03-01,4,3,1,
2017-03-16,3308,2017-03-12,2017-03-01,5,3,1,
2017-03-17,3590,2017-03-12,2017-03-01,6,3,1,
2017-03-18,2232,2017-03-12,2017-03-01,7,3,1,
2017-03-19,1417,2017-03-19,2017-03-01,1,3,1,
2017-03-20,5616,2017-03-19,2017-03-01,2,3,1,
2017-03-21,907,2017-03-19,2017-03-01,3,3,1,
2017-03-22,46,2017-03-19,2017-03-01,4,3,1,
2017-03-23,2796,2017-03-19,2017-03-01,5,3,1,
2017-03-24,2726,2017-03-19,2017-03-01,6,3,1,
2017-03-25,2711,2017-03-19,2017-03-01,7,3,1,
2017-03-26,1524,2017-03-26,2017-03-01,1,3,1,
2017-03-27,3628,2017-03-26,2017-03-01,2,3,1,
2017-03-28,2995,2017-03-26,2017-03-01,3,3,1,
2017-03-29,3092,2017-03-26,2017-03-01,4,3,1,
2017-03-30,5817,2017-03-26,2017-03-01,5,3,1,
2017-03-31,3673,2017-03-26,2017-03-01,6,3,1,
2017-04-01,2546,2017-03-26,2017-04-01,7,4,1,
2017-04-02,1173,2017-04-02,2017-04-01,1,4,1,
2017-04-03,2804,2017-04-02,2017-04-01,2,4,1,
2017-04-04,3492,2017-04-02,2017-04-01,3,4,1,
2017-04-05,6281,2017-04-02,2017-04-01,4,4,1,
2017-04-06,4671,2017-04-02,2017-04-01,5,4,1,
2017-04-07,1320,2017-04-02,2017-04-01,6,4,1,
2017-04-08,1336,2017-04-02,2017-04-01,7,4,1,
2017-04-09,7376,2017-04-09,2017-04-01,1,4,1,
2017-04-10,2755,2017-04-09,2017-04-01,2,4,1,
2017-04-11,4411,2017-04-09,2017-04-01,3,4,1,
2017-04-12,4432,2017-04-09,2017-04-01,4,4,1,
2017-04-13,3941,2017-04-09,2017-04-01,5,4,1,
2017-04-14,3176,2017-04-09,2017-04-01,6,4,1,
2017-04-15,807,2017-04-09,2017-04-01,7,4,1,
2017-04-16,9,2017-04-16,2017-04-01,1,4,1,
2017-04-17,3139,2017-04-16,2017-04-01,2,4,1,
2017-04-18,2487,2017-04-16,2017-04-01,3,4,1,
2017-04-19,6555,2017-04-16,2017-04-01,4,4,1,
2017-04-20,4711,2017-04-16,2017-04-01,5,4,1,
2017-04-21,2360,2017-04-16,2017-04-01,6,4,1,
2017-04-22,2381,2017-04-16,2017-04-01,7,4,1,
2017-04-23,1768,2017-04-23,2017-04-01,1,4,1,
2017-04-24,2481,2017-04-23,2017-04-01,2,4,1,
2017-04-25,2401,2017-04-23,2017-04-01,3,4,1,
2017-04-26,2622,2017-04-23,2017-04-01,4,4,1,
2017-04-27,1969,2017-04-23,2017-04-01,5,4,1,
2017-04-28,2747,2017-04-23,2017-04-01,6,4,1,
2017-04-29,5086,2017-04-23,2017-04-01,7,4,1,
2017-04-30,372,2017-04-30,2017-04-01,1,4,1,
2017-05-01,3777,2017-04-30,2017-05-01,2,5,1,
2017-05-02,2855,2017-04-30,2017-05-01,3,5,1,
2017-05-03,5857,2017-04-30,2017-05-01,4,5,1,
2017-05-04,3516,2017-04-30,2017-05-01,5,5,1,
2017-05-05,3516,2017-04-30,2017-05-01,6,5,1,
2017-05-06,1884,2017-04-30,2017-05-01,7,5,1,
2017-05-07,10793,2017-05-07,2017-05-01,1,5,1,
2017-05-08,3766,2017-05-07,2017-05-01,2,5,1,
2017-05-09,1884,2017-05-07,2017-05-01,3,5,1,
2017-05-10,1746,2017-05-07,2017-05-01,4,5,1,
2017-05-11,1493,2017-05-07,2017-05-01,5,5,1,
2017-05-12,4805,2017-05-07,2017-05-01,6,5,1,
2017-05-13,2965,2017-05-07,2017-05-01,7,5,1,
2017-05-14,357,2017-05-14,2017-05-01,1,5,1,
2017-05-15,1105,2017-05-14,2017-05-01,2,5,1,
2017-05-16,887,2017-05-14,2017-05-01,3,5,1,
2017-05-17,737,2017-05-14,2017-05-01,4,5,1,
2017-05-18,2541,2017-05-14,2017-05-01,5,5,1,
2017-05-19,3245,2017-05-14,2017-05-01,6,5,1,
2017-05-20,466,2017-05-14,2017-05-01,7,5,1,
2017-05-21,557,2017-05-21,2017-05-01,1,5,1,
2017-05-22,1264,2017-05-21,2017-05-01,2,5,1,
2017-05-23,1149,2017-05-21,2017-05-01,3,5,1,
2017-05-24,1302,2017-05-21,2017-05-01,4,5,1,
2017-05-25,1480,2017-05-21,2017-05-01,5,5,1,
2017-05-26,1376,2017-05-21,2017-05-01,6,5,1,
2017-05-27,1993,2017-05-21,2017-05-01,7,5,1,
